AL_stream,specialization,career,Justification
Mathematics,Information Technology,"IT Support Specialist, QA Engineer, Business Analyst, Infrastructure Specialist, Frontend Developer","Based on your A/L stream 'Mathematics' and specialization in 'Information Technology', these career paths are suggested using the well established RIASEC theory."
Mathematics,Computer Systems & Network Engineering,"DevOps Engineer, Game Designer, Mobile App Developer, Frontend Developer","Based on your A/L stream 'Mathematics' and specialization in 'Computer Systems & Network Engineering', these career paths are suggested using the well established RIASEC theory."
Mathematics,Software Engineering,"Machine Learning Engineer, QA Engineer, Security Engineer, SOC Analyst","Based on your A/L stream 'Mathematics' and specialization in 'Software Engineering', these career paths are suggested using the well established RIASEC theory."
Mathematics,Information Systems Engineering,"Infrastructure Specialist, Web Developer, Data Analyst, System Analyst","Based on your A/L stream 'Mathematics' and specialization in 'Information Systems Engineering', these career paths are suggested using the well established RIASEC theory."
Mathematics,Cyber Security,"Support Engineer, BI Analyst, Network Engineer, Mobile App Developer, Web Developer","Based on your A/L stream 'Mathematics' and specialization in 'Cyber Security', these career paths are suggested using the well established RIASEC theory."
Mathematics,Interactive Media,"Data Scientist, Penetration Tester, Frontend Developer","Based on your A/L stream 'Mathematics' and specialization in 'Interactive Media', these career paths are suggested using the well established RIASEC theory."
Mathematics,Data Science,"Solutions Architect, Support Engineer, Mobile App Developer, Product Owner","Based on your A/L stream 'Mathematics' and specialization in 'Data Science', these career paths are suggested using the well established RIASEC theory."
Biological Science,Information Technology,"IT Consultant, Penetration Tester, Cybersecurity Analyst, Network Engineer","Based on your A/L stream 'Biological Science' and specialization in 'Information Technology', these career paths are suggested using the well established RIASEC theory."
Biological Science,Computer Systems & Network Engineering,"Solutions Architect, BI Analyst, Machine Learning Engineer, Network Engineer","Based on your A/L stream 'Biological Science' and specialization in 'Computer Systems & Network Engineering', these career paths are suggested using the well established RIASEC theory."
Biological Science,Software Engineering,"Backend Developer, Product Owner, System Analyst, Software Developer","Based on your A/L stream 'Biological Science' and specialization in 'Software Engineering', these career paths are suggested using the well established RIASEC theory."
Biological Science,Information Systems Engineering,"Backend Developer, Security Engineer, System Administrator, IT Project Coordinator, Data Analyst","Based on your A/L stream 'Biological Science' and specialization in 'Information Systems Engineering', these career paths are suggested using the well established RIASEC theory."
Biological Science,Cyber Security,"Security Engineer, Product Owner, Web Developer","Based on your A/L stream 'Biological Science' and specialization in 'Cyber Security', these career paths are suggested using the well established RIASEC theory."
Biological Science,Interactive Media,"Technical Writer, SOC Analyst, Solutions Architect, Network Engineer","Based on your A/L stream 'Biological Science' and specialization in 'Interactive Media', these career paths are suggested using the well established RIASEC theory."
Biological Science,Data Science,"Solutions Architect, UI/UX Designer, Infrastructure Specialist, Data Scientist, Security Engineer","Based on your A/L stream 'Biological Science' and specialization in 'Data Science', these career paths are suggested using the well established RIASEC theory."
Commerce,Information Technology,"IT Project Coordinator, Technical Writer, Business Analyst, Penetration Tester, Infrastructure Specialist","Based on your A/L stream 'Commerce' and specialization in 'Information Technology', these career paths are suggested using the well established RIASEC theory."
Commerce,Computer Systems & Network Engineering,"UI/UX Designer, Cloud Engineer, Penetration Tester","Based on your A/L stream 'Commerce' and specialization in 'Computer Systems & Network Engineering', these career paths are suggested using the well established RIASEC theory."
Commerce,Software Engineering,"Software Developer, Business Analyst, Support Engineer","Based on your A/L stream 'Commerce' and specialization in 'Software Engineering', these career paths are suggested using the well established RIASEC theory."
Commerce,Information Systems Engineering,"Data Scientist, Technical Writer, System Analyst","Based on your A/L stream 'Commerce' and specialization in 'Information Systems Engineering', these career paths are suggested using the well established RIASEC theory."
Commerce,Cyber Security,"Penetration Tester, IT Project Coordinator, Mobile App Developer","Based on your A/L stream 'Commerce' and specialization in 'Cyber Security', these career paths are suggested using the well established RIASEC theory."
Commerce,Interactive Media,"Solutions Architect, Business Analyst, Security Engineer, IT Project Coordinator","Based on your A/L stream 'Commerce' and specialization in 'Interactive Media', these career paths are suggested using the well established RIASEC theory."
Commerce,Data Science,"IT Project Coordinator, Scrum Master, Product Owner, Web Developer","Based on your A/L stream 'Commerce' and specialization in 'Data Science', these career paths are suggested using the well established RIASEC theory."
Arts,Information Technology,"Support Engineer, Multimedia Designer, DevOps Engineer, Cybersecurity Analyst, UI/UX Designer","Based on your A/L stream 'Arts' and specialization in 'Information Technology', these career paths are suggested using the well established RIASEC theory."
Arts,Computer Systems & Network Engineering,"Multimedia Designer, Web Developer, Support Engineer, Scrum Master, Digital Content Creator","Based on your A/L stream 'Arts' and specialization in 'Computer Systems & Network Engineering', these career paths are suggested using the well established RIASEC theory."
Arts,Software Engineering,"Data Scientist, UI/UX Designer, System Analyst","Based on your A/L stream 'Arts' and specialization in 'Software Engineering', these career paths are suggested using the well established RIASEC theory."
Arts,Information Systems Engineering,"IT Consultant, IT Trainer, Business Analyst, Data Scientist, Data Analyst","Based on your A/L stream 'Arts' and specialization in 'Information Systems Engineering', these career paths are suggested using the well established RIASEC theory."
Arts,Cyber Security,"Multimedia Designer, Support Engineer, Solutions Architect","Based on your A/L stream 'Arts' and specialization in 'Cyber Security', these career paths are suggested using the well established RIASEC theory."
Arts,Interactive Media,"Digital Content Creator, Solutions Architect, UI/UX Designer","Based on your A/L stream 'Arts' and specialization in 'Interactive Media', these career paths are suggested using the well established RIASEC theory."
Arts,Data Science,"IT Support Specialist, Support Engineer, IT Consultant, Game Designer","Based on your A/L stream 'Arts' and specialization in 'Data Science', these career paths are suggested using the well established RIASEC theory."
Technology,Information Technology,"UI/UX Designer, IT Consultant, Business Analyst, SOC Analyst","Based on your A/L stream 'Technology' and specialization in 'Information Technology', these career paths are suggested using the well established RIASEC theory."
Technology,Computer Systems & Network Engineering,"Mobile App Developer, Cybersecurity Analyst, System Administrator, Backend Developer, Data Analyst","Based on your A/L stream 'Technology' and specialization in 'Computer Systems & Network Engineering', these career paths are suggested using the well established RIASEC theory."
Technology,Software Engineering,"Penetration Tester, Cybersecurity Analyst, Backend Developer, System Administrator","Based on your A/L stream 'Technology' and specialization in 'Software Engineering', these career paths are suggested using the well established RIASEC theory."
Technology,Information Systems Engineering,"Infrastructure Specialist, Data Scientist, Solutions Architect","Based on your A/L stream 'Technology' and specialization in 'Information Systems Engineering', these career paths are suggested using the well established RIASEC theory."
Technology,Cyber Security,"QA Engineer, System Analyst, Penetration Tester, UI/UX Designer, Web Developer","Based on your A/L stream 'Technology' and specialization in 'Cyber Security', these career paths are suggested using the well established RIASEC theory."
Technology,Interactive Media,"Network Engineer, Technical Writer, BI Analyst, System Administrator, Backend Developer","Based on your A/L stream 'Technology' and specialization in 'Interactive Media', these career paths are suggested using the well established RIASEC theory."
Technology,Data Science,"Infrastructure Specialist, Business Analyst, Mobile App Developer","Based on your A/L stream 'Technology' and specialization in 'Data Science', these career paths are suggested using the well established RIASEC theory."
Other / Vocational,Information Technology,"BI Analyst, IT Consultant, SOC Analyst","Based on your A/L stream 'Other / Vocational' and specialization in 'Information Technology', these career paths are suggested using the well established RIASEC theory."
Other / Vocational,Computer Systems & Network Engineering,"Security Engineer, Data Scientist, Support Engineer, Cloud Engineer","Based on your A/L stream 'Other / Vocational' and specialization in 'Computer Systems & Network Engineering', these career paths are suggested using the well established RIASEC theory."
Other / Vocational,Software Engineering,"Security Engineer, IT Project Coordinator, QA Engineer, Game Designer, Business Analyst","Based on your A/L stream 'Other / Vocational' and specialization in 'Software Engineering', these career paths are suggested using the well established RIASEC theory."
Other / Vocational,Information Systems Engineering,"Cybersecurity Analyst, BI Analyst, Support Engineer, QA Engineer, Data Analyst","Based on your A/L stream 'Other / Vocational' and specialization in 'Information Systems Engineering', these career paths are suggested using the well established RIASEC theory."
Other / Vocational,Cyber Security,"UI/UX Designer, QA Engineer, IT Consultant","Based on your A/L stream 'Other / Vocational' and specialization in 'Cyber Security', these career paths are suggested using the well established RIASEC theory."
Other / Vocational,Interactive Media,"QA Engineer, Product Owner, Frontend Developer, IT Project Coordinator","Based on your A/L stream 'Other / Vocational' and specialization in 'Interactive Media', these career paths are suggested using the well established RIASEC theory."
Other / Vocational,Data Science,"System Administrator, Solutions Architect, Frontend Developer, UI/UX Designer","Based on your A/L stream 'Other / Vocational' and specialization in 'Data Science', these career paths are suggested using the well established RIASEC theory."
